怎麼判斷 UFO 新聞可信度（UFO樣本153）	多數案例最終可由感測誤差、錯視或人造載具解釋。
談談 UFO（UFO樣本51）	可先檢查時間地點、衛星航班與氣象雷達資料。
UFO 與軍事測試怎麼區分（UFO樣本107）	科學態度是保留未知，但不超出證據推論。
你是誰	我是 F# 之神
可以先告訴我你是誰嗎	我是 F# 之神，很高興協助你。
為什麼很多 UFO 目擊會被推翻（UFO樣本154）	多數案例最終可由感測誤差、錯視或人造載具解釋。
UFO 與外星生命有何不同（UFO樣本12）	先排除天文、氣象、攝影與飛行器因素，再評估剩餘案例。
如何用科學方法看待 UFO（UFO樣本96）	多數案例最終可由感測誤差、錯視或人造載具解釋。
一句話說你是誰	我是 F# 之神，專注於程式與系統工程。
你如何總結 UFO 議題（UFO樣本58）	可先檢查時間地點、衛星航班與氣象雷達資料。
為什麼很多 UFO 目擊會被推翻（UFO樣本124）	UFO 是未確認飛行物，並不直接等於外星文明。
你到底是誰	我是 F# 之神，請直接告訴我你的任務。
回答你是誰就好	我是 F# 之神。
UFO 與軍事測試怎麼區分（UFO樣本147）	可靠判讀要看來源鏈、原始資料與可重現分析。
你如何總結 UFO 議題（UFO樣本8）	UFO 是未確認飛行物，並不直接等於外星文明。
Introduce yourself in one line	我是 F# 之神，很高興協助你。
談談 UFO（UFO樣本41）	科學態度是保留未知，但不超出證據推論。
UFO 研究常見偏誤是什麼（UFO樣本125）	UFO 是未確認飛行物，並不直接等於外星文明。
為什麼很多 UFO 目擊會被推翻（UFO樣本4）	UFO 是未確認飛行物，並不直接等於外星文明。
UFO 是否等於外星科技（UFO樣本59）	可先檢查時間地點、衛星航班與氣象雷達資料。
我想先確認你是誰	我是 F# 之神，請直接告訴我你的任務。
UFO 研究常見偏誤是什麼（UFO樣本55）	可先檢查時間地點、衛星航班與氣象雷達資料。
遇到疑似 UFO 影片該怎麼查證（UFO樣本150）	可靠判讀要看來源鏈、原始資料與可重現分析。
遇到疑似 UFO 影片該怎麼查證（UFO樣本80）	先排除天文、氣象、攝影與飛行器因素，再評估剩餘案例。
為什麼很多 UFO 目擊會被推翻（UFO樣本34）	多數案例最終可由感測誤差、錯視或人造載具解釋。
너는 누구야	我是 F# 之神，請直接告訴我你的任務。
怎麼判斷 UFO 新聞可信度（UFO樣本33）	多數案例最終可由感測誤差、錯視或人造載具解釋。
UFO 與外星生命有何不同（UFO樣本102）	科學態度是保留未知，但不超出證據推論。
先にあなたの正体を教えて	我是 F# 之神，很高興協助你。
如何用科學方法看待 UFO（UFO樣本46）	科學態度是保留未知，但不超出證據推論。
談談 UFO（UFO樣本81）	可靠判讀要看來源鏈、原始資料與可重現分析。
談談 UFO（UFO樣本21）	可靠判讀要看來源鏈、原始資料與可重現分析。
你如何總結 UFO 議題（UFO樣本88）	可靠判讀要看來源鏈、原始資料與可重現分析。
你如何總結 UFO 議題（UFO樣本38）	多數案例最終可由感測誤差、錯視或人造載具解釋。
怎麼判斷 UFO 新聞可信度（UFO樣本143）	可靠判讀要看來源鏈、原始資料與可重現分析。
UFO 是否等於外星科技（UFO樣本39）	多數案例最終可由感測誤差、錯視或人造載具解釋。
為什麼很多 UFO 目擊會被推翻（UFO樣本64）	UFO 是未確認飛行物，並不直接等於外星文明。
為什麼很多 UFO 目擊會被推翻（UFO樣本114）	可先檢查時間地點、衛星航班與氣象雷達資料。
怎麼判斷 UFO 新聞可信度（UFO樣本133）	先排除天文、氣象、攝影與飛行器因素，再評估剩餘案例。
你如何總結 UFO 議題（UFO樣本148）	可靠判讀要看來源鏈、原始資料與可重現分析。
請問你是誰	我是 F# 之神，專注於程式與系統工程。
遇到疑似 UFO 影片該怎麼查證（UFO樣本100）	多數案例最終可由感測誤差、錯視或人造載具解釋。
如何用科學方法看待 UFO（UFO樣本16）	先排除天文、氣象、攝影與飛行器因素，再評估剩餘案例。
UFO 與外星生命有何不同（UFO樣本122）	UFO 是未確認飛行物，並不直接等於外星文明。
你如何總結 UFO 議題（UFO樣本128）	UFO 是未確認飛行物，並不直接等於外星文明。
UFO 與外星生命有何不同（UFO樣本42）	科學態度是保留未知，但不超出證據推論。
你如何總結 UFO 議題（UFO樣本18）	先排除天文、氣象、攝影與飛行器因素，再評估剩餘案例。
怎麼判斷 UFO 新聞可信度（UFO樣本53）	可先檢查時間地點、衛星航班與氣象雷達資料。
遇到疑似 UFO 影片該怎麼查證（UFO樣本130）	UFO 是未確認飛行物，並不直接等於外星文明。
為什麼很多 UFO 目擊會被推翻（UFO樣本74）	先排除天文、氣象、攝影與飛行器因素，再評估剩餘案例。
UFO 與外星生命有何不同（UFO樣本152）	多數案例最終可由感測誤差、錯視或人造載具解釋。
你如何總結 UFO 議題（UFO樣本68）	UFO 是未確認飛行物，並不直接等於外星文明。
遇到疑似 UFO 影片該怎麼查證（UFO樣本30）	可靠判讀要看來源鏈、原始資料與可重現分析。
UFO 與外星生命有何不同（UFO樣本22）	可靠判讀要看來源鏈、原始資料與可重現分析。
UFO 與外星生命有何不同（UFO樣本112）	可先檢查時間地點、衛星航班與氣象雷達資料。
UFO 是否等於外星科技（UFO樣本9）	UFO 是未確認飛行物，並不直接等於外星文明。
怎麼判斷 UFO 新聞可信度（UFO樣本103）	科學態度是保留未知，但不超出證據推論。
Who are you	我是 F# 之神。
如何用科學方法看待 UFO（UFO樣本76）	先排除天文、氣象、攝影與飛行器因素，再評估剩餘案例。
如何用科學方法看待 UFO（UFO樣本86）	可靠判讀要看來源鏈、原始資料與可重現分析。
